Point A,Coord A,Point B,Coord B,Euclidean Distance
P3,"(9, 4)",P5,"(7, 2)",2.828
P6,"(3, 11)",P9,"(6, 12)",3.162
P2,"(5, 8)",P6,"(3, 11)",3.606
P1,"(2, 3)",P10,"(1, 7)",4.123
P2,"(5, 8)",P9,"(6, 12)",4.123
P2,"(5, 8)",P10,"(1, 7)",4.123
P4,"(12, 10)",P8,"(10, 14)",4.472
P6,"(3, 11)",P10,"(1, 7)",4.472
P8,"(10, 14)",P9,"(6, 12)",4.472
P4,"(12, 10)",P7,"(15, 6)",5.0
P1,"(2, 3)",P5,"(7, 2)",5.099
P2,"(5, 8)",P3,"(9, 4)",5.657
P1,"(2, 3)",P2,"(5, 8)",5.831
P2,"(5, 8)",P5,"(7, 2)",6.325
P3,"(9, 4)",P7,"(15, 6)",6.325
P4,"(12, 10)",P9,"(6, 12)",6.325
P3,"(9, 4)",P4,"(12, 10)",6.708
P1,"(2, 3)",P3,"(9, 4)",7.071
P9,"(6, 12)",P10,"(1, 7)",7.071
P2,"(5, 8)",P4,"(12, 10)",7.28
P6,"(3, 11)",P8,"(10, 14)",7.616
P2,"(5, 8)",P8,"(10, 14)",7.81
P5,"(7, 2)",P10,"(1, 7)",7.81
P1,"(2, 3)",P6,"(3, 11)",8.062
P3,"(9, 4)",P9,"(6, 12)",8.544
P3,"(9, 4)",P10,"(1, 7)",8.544
P5,"(7, 2)",P7,"(15, 6)",8.944
P4,"(12, 10)",P6,"(3, 11)",9.055
P3,"(9, 4)",P6,"(3, 11)",9.22
P4,"(12, 10)",P5,"(7, 2)",9.434
P7,"(15, 6)",P8,"(10, 14)",9.434
P1,"(2, 3)",P9,"(6, 12)",9.849
P5,"(7, 2)",P6,"(3, 11)",9.849
P3,"(9, 4)",P8,"(10, 14)",10.05
P5,"(7, 2)",P9,"(6, 12)",10.05
P2,"(5, 8)",P7,"(15, 6)",10.198
P7,"(15, 6)",P9,"(6, 12)",10.817
P4,"(12, 10)",P10,"(1, 7)",11.402
P8,"(10, 14)",P10,"(1, 7)",11.402
P1,"(2, 3)",P4,"(12, 10)",12.207
P5,"(7, 2)",P8,"(10, 14)",12.369
P6,"(3, 11)",P7,"(15, 6)",13.0
P1,"(2, 3)",P7,"(15, 6)",13.342
P1,"(2, 3)",P8,"(10, 14)",13.601
P7,"(15, 6)",P10,"(1, 7)",14.036
